,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
199,MW Priest ,1990-1998,18,14,4,103,24,10.30,225,45.77,0,0,2,1,0,NEW ZEALAND
200,C Pringle ,1990-1995,64,41,19,193,34*,8.77,256,75.39,0,0,3,8,5,NEW ZEALAND
201,SHA Rance ,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
202,AJ Redmond ,2009-2010,6,6,0,152,52,25.33,259,58.68,0,1,0,19,0,NEW ZEALAND
203,RE Redmond ,1973-1973,2,1,0,3,3,3.00,11,27.27,0,0,0,0,0,NEW ZEALAND
204,JF Reid ,1980-1986,25,24,1,633,88,27.52,1084,58.39,0,4,0,29+,2,NEW ZEALAND
205,RB Reid ,1988-1991,9,9,0,248,64,27.55,448,55.35,0,2,0,25,1,NEW ZEALAND
206,MH Richardson ,2002-2002,4,4,0,42,26,10.50,97,43.29,0,0,1,4,0,NEW ZEALAND
207,ADG Roberts ,1976-1976,1,1,0,16,16,16.00,24,66.66,0,0,0,-,-,NEW ZEALAND
208,SJ Roberts ,1990-1990,2,1,1,1,1*,-,2,50.00,0,0,0,0,0,NEW ZEALAND
209,GK Robertson ,1981-1989,10,6,0,49,17,8.16,48,102.08,0,0,1,1+,0+,NEW ZEALAND
210,L Ronchi ,2013-2017,81,66,9,1321,170*,23.17,1183,111.66,1,3,7,143,37,NEW ZEALAND
211,HD Rutherford ,2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0,2,0,NEW ZEALAND
212,KR Rutherford ,1985-1995,121,115,9,3143,108,29.65,4888,64.30,2,18,6,223,17,NEW ZEALAND
213,JD Ryder ,2008-2014,48,42,1,1362,107,33.21,1429,95.31,3,6,5,152,38,NEW ZEALAND
214,MJ Santner ,2015-2021,75,57,23,927,67,27.26,1047,88.53,0,2,3,64,27,NEW ZEALAND
215,TL Seifert ,2019-2019,3,2,0,33,22,16.50,27,122.22,0,0,0,2,1,NEW ZEALAND
216,MS Sinclair ,2000-2009,54,50,4,1304,118*,28.34,2086,62.51,2,8,8,112,5,NEW ZEALAND
217,IDS Smith ,1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7,93+,10+,NEW ZEALAND
218,MC Snedden ,1980-1990,93,54,19,535,64,15.28,843,63.46,0,1,4,32+,1+,NEW ZEALAND
219,IS Sodhi ,2015-2020,33,14,3,81,24,7.36,104,77.88,0,0,4,4,4,NEW ZEALAND
220,TG Southee ,2008-2020,143,86,32,679,55,12.57,696,97.55,0,1,12,53,26,NEW ZEALAND
221,CM Spearman ,1995-2001,51,50,0,936,86,18.72,1202,77.87,0,5,6,123,9,NEW ZEALAND
222,SL Stewart ,2010-2010,4,4,0,26,14,6.50,59,44.06,0,0,0,2,0,NEW ZEALAND
223,DA Stirling ,1984-1984,6,5,2,21,13*,7.00,39,53.84,0,0,0,1,0,NEW ZEALAND
224,LW Stott ,1979-1979,1,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
225,SB Styris ,1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,353,68,NEW ZEALAND
226,ML Su'a ,1992-1995,12,7,2,24,12*,4.80,56,42.85,0,0,0,1,0,NEW ZEALAND
227,GP Sulzberger ,2000-2000,3,2,1,9,6*,9.00,15,60.00,0,0,0,0,0,NEW ZEALAND
228,AR Tait ,1998-1999,5,5,2,35,13*,11.66,32,109.37,0,0,0,2,1,NEW ZEALAND
229,BR Taylor ,1973-1973,2,1,0,22,22,22.00,42,52.38,0,0,0,4,0,NEW ZEALAND
230,LRPL Taylor ,2006-2021,233,217,39,8581,181*,48.20,10287,83.41,21,51,9,712,146,NEW ZEALAND
231,EP Thompson ,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
232,SA Thomson ,1990-1996,56,52,10,964,83,22.95,1427,67.55,0,5,2,63,8,NEW ZEALAND
233,GB Troup ,1976-1985,22,12,8,101,39,25.25,140,72.14,0,0,0,7,2,NEW ZEALAND
234,DR Tuffey ,2000-2010,94,52,21,295,36,9.51,372,79.30,0,0,7,23,7,NEW ZEALAND
235,GM Turner ,1973-1983,41,40,6,1598,171*,47.00,2348,68.05,3,9,1,156+,7+,NEW ZEALAND
236,RG Twose ,1995-2001,87,81,11,2717,103,38.81,3603,75.40,1,20,5,240,33,NEW ZEALAND
237,RH Vance ,1988-1989,8,8,0,248,96,31.00,481,51.55,0,1,0,10,3,NEW ZEALAND
238,JTC Vaughan ,1992-1996,18,16,7,162,33,18.00,261,62.06,0,0,0,7,0,NEW ZEALAND
239,DL Vettori ,1997-2015,291,183,55,2201,83,17.19,2657,82.83,0,4,22,173,15,NEW ZEALAND
240,L Vincent ,2001-2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8,222,37,NEW ZEALAND
241,GE Vivian ,1973-1973,1,1,0,14,14,14.00,30,46.66,0,0,0,-,-,NEW ZEALAND
242,KJ Wadsworth ,1973-1976,13,10,1,258,104,28.66,334,77.24,1,0,1,28+,3+,NEW ZEALAND
